Work Item Type,Title,Description,Tags,Iteration Path,Priority
Epic,Fundação Ambiente e Banco,"Provisionar ambiente local, materializar banco e seed inicial (F0).",F0;Fundacao,Climate ESG\Sprint 1,1
Feature,Provisionar ambiente local,"uv, venv, deps e Postgres com extensões.",F0;Fundacao,Climate ESG\Sprint 1,1
User Story,Ambiente Python provisionado,"Como dev quero o ambiente Python para rodar o código.",F0;Fundacao,Climate ESG\Sprint 1,1
Task,Instalar uv e criar venv,"Instalar uv; uv sync --extra dev; commitar uv.lock.",F0,Climate ESG\Sprint 1,1
Task,Validar make check verde,"ruff + mypy + pytest verdes localmente.",F0,Climate ESG\Sprint 1,1
Task,Criar .env,"Copiar de .env.example e preencher credenciais locais.",F0,Climate ESG\Sprint 1,2
User Story,Postgres inicializado com extensões,"Como dev quero Postgres com postgis/vector/pg_trgm.",F0;Fundacao,Climate ESG\Sprint 1,1
Task,Rodar setup_postgres.sh,"apt: postgres-16, postgis, pgvector.",F0,Climate ESG\Sprint 1,1
Task,Rodar init_db.sh,"Role climate_esg, db e extensões.",F0,Climate ESG\Sprint 1,1
Task,Smoke de conexão,"make db-shell conecta; \\dx lista extensões.",F0,Climate ESG\Sprint 1,2
Feature,Migrations Alembic,"Materializar o star schema via migrations versionadas.",F0;Fundacao,Climate ESG\Sprint 1,1
User Story,Star schema materializado,"Como dev quero migrations versionadas do schema.",F0;Fundacao,Climate ESG\Sprint 1,1
Task,Criar alembic.ini e env.py,"env.py apontando para Base.metadata.",F0,Climate ESG\Sprint 1,1
Task,Migration inicial autogenerate,"Dimensões + 3 fatos atuais.",F0,Climate ESG\Sprint 1,1
Task,Índices GIST geom,"Índices GIST em dim_asset.geom e dim_region.geom.",F0,Climate ESG\Sprint 1,2
Task,Aplicar make db-migrate,"Aplica sem erro; validar tabelas no banco.",F0,Climate ESG\Sprint 1,1
Feature,Seed de dimensões,"Popular dimensões-base para o pipeline ter chaves.",F0;Fundacao,Climate ESG\Sprint 1,1
User Story,Dimensões-base populadas,"Como modelador quero dimensões base populadas.",F0;Fundacao,Climate ESG\Sprint 1,1
Task,Seed dim_scenario,"historical, SSP2-4.5, SSP5-8.5.",F0,Climate ESG\Sprint 1,1
Task,Seed dim_climate_variable,"CF: tasmin, tasmax, pr, sfcWindmax, hurs, huss.",F0,Climate ESG\Sprint 1,1
Task,Seed dim_company,"Döhler (fechado) e Schulz (B3 SHUL3/SHUL4).",F0,Climate ESG\Sprint 1,1
Task,Seed dim_asset,"Plantas em Joinville/SC com lat/long (POINT).",F0,Climate ESG\Sprint 1,1
Task,Seed dim_date,"Calendário 1988-2050 BR fiscal-aware.",F0,Climate ESG\Sprint 1,2
Task,CLI db seed idempotente,"climate-esg db seed.",F0,Climate ESG\Sprint 1,2
Epic,CI/CD e Qualidade,"CI verde e hooks de pré-commit (F0).",F0;CI,Climate ESG\Sprint 1,1
Feature,CI no GitHub Actions,"Lint, tipos e testes a cada push.",F0;CI,Climate ESG\Sprint 1,1
User Story,CI verde a cada push,"Como dev quero CI verde a cada push.",F0;CI,Climate ESG\Sprint 1,1
Task,Workflow ci.yml,"ruff + mypy + pytest.",F0,Climate ESG\Sprint 1,1
Task,Postgres service container,"Para testes integration na CI.",F0,Climate ESG\Sprint 1,2
Task,Gate de cobertura,"Falhar abaixo do mínimo definido.",F0,Climate ESG\Sprint 1,3
User Story,Pré-commit hooks,"Como dev quero hooks de pré-commit.",F0;CI,Climate ESG\Sprint 1,2
Task,Config pre-commit,".pre-commit-config.yaml (ruff/mypy leve).",F0,Climate ESG\Sprint 1,2
Epic,Ingestão e Pipeline CMIP6 E2E,"Completar pipeline bronze→prata→ouro e expandir variáveis (F0→F1).",F0;F1;Ingestao,Climate ESG\Sprint 2,1
Feature,Completar flow ingest_cmip6,"Implementar validate e promote e fechar smoke E2E.",F0;Ingestao,Climate ESG\Sprint 2,1
User Story,Validar NetCDF baixado,"Como pipeline quero validar o NetCDF (CF + ranges).",F0;Ingestao,Climate ESG\Sprint 2,1
